,count,alive,healthy,boroname,nta,nta_name,area (sq-ft),Median Income,Margin of Error,fraction alive,fraction healthy,density
36061000201,70,66,57,Manhattan,MN28,Lower East Side,971599.41768,20521.0,4537,0.942857142857,0.814285714286,6.79292296794e-05
36061000202,217,210,201,Manhattan,MN28,Lower East Side,3315114.15469,29684.0,3510,0.967741935484,0.926267281106,6.33462349111e-05
36061000600,187,168,157,Manhattan,MN28,Lower East Side,2583417.64669,19863.0,5878,0.898395721925,0.839572192513,6.50301356481e-05
36061000700,144,130,116,Manhattan,MN25,Battery Park City-Lower Manhattan,2528535.32229,117841.0,13607,0.902777777778,0.805555555556,5.14131635236e-05
36061000800,288,281,269,Manhattan,MN27,Chinatown,2366871.1364,27137.0,7611,0.975694444444,0.934027777778,0.000118722137289
36061000900,83,82,79,Manhattan,MN25,Battery Park City-Lower Manhattan,3122058.86922,147500.0,30405,0.987951807229,0.951807228916,2.62647193518e-05
36061001001,24,21,18,Manhattan,MN28,Lower East Side,867805.760969,73239.0,16153,0.875,0.75,2.41989635752e-05
36061001002,56,50,43,Manhattan,MN28,Lower East Side,2225077.51196,17560.0,3908,0.892857142857,0.767857142857,2.24711272894e-05
36061001200,111,104,96,Manhattan,MN28,Lower East Side,1298211.25462,41705.0,19643,0.936936936937,0.864864864865,8.01102283083e-05
36061001300,94,88,88,Manhattan,MN25,Battery Park City-Lower Manhattan,3463333.42747,123558.0,15444,0.936170212766,0.936170212766,2.54090464701e-05
36061001401,84,81,81,Manhattan,MN28,Lower East Side,1006116.71438,76250.0,14590,0.964285714286,0.964285714286,8.05075582607e-05
36061001402,128,123,111,Manhattan,MN28,Lower East Side,1226206.08353,24375.0,3314,0.9609375,0.8671875,0.000100309402842
36061001501,166,161,149,Manhattan,MN25,Battery Park City-Lower Manhattan,2814943.45286,81867.0,11845,0.969879518072,0.897590361446,5.71947546003e-05
36061001502,56,55,52,Manhattan,MN25,Battery Park City-Lower Manhattan,2201257.37139,133209.0,11906,0.982142857143,0.928571428571,2.49857198503e-05
36061001600,288,269,257,Manhattan,MN27,Chinatown,2233319.73128,31452.0,15588,0.934027777778,0.892361111111,0.000120448494782
36061001800,310,301,294,Manhattan,MN27,Chinatown,2399268.38194,59416.0,7717,0.970967741935,0.948387096774,0.000125454910449
36061002000,29,23,22,Manhattan,MN28,Lower East Side,1368554.41913,16778.0,2682,0.793103448276,0.758620689655,1.68060543874e-05
36061002100,235,228,217,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,2611965.02428,250000.0,***,0.970212765957,0.923404255319,8.72906022403e-05
36061002201,120,112,101,Manhattan,MN28,Lower East Side,1740173.90996,34988.0,11552,0.933333333333,0.841666666667,6.43613832841e-05
36061002202,116,113,110,Manhattan,MN28,Lower East Side,603922.198555,68750.0,27796,0.974137931034,0.948275862069,0.000187110194443
36061002400,51,48,45,Manhattan,MN28,Lower East Side,1860513.32094,22676.0,5682,0.941176470588,0.882352941176,2.57993315392e-05
36061002500,43,42,40,Manhattan,MN27,Chinatown,1439387.95573,16527.0,2427,0.976744186047,0.93023255814,2.91790686679e-05
